product_title,product_id,threepk
Fit & Fierce 3 Item,91236171794,t
Fit & Fierce 3 Item autonrenew,113252532242,t
Fit & Fierce 5 Item,91235975186,f
Fit & Fierce 5 Item autonrenew,113252466706,f
Power Moves - 3 Item,69026938898,t
Power Moves - 5 Item,69026316306,f
Power Moves 3 Item autorenew,112433299474,t
Power Moves 5 Item autorenew,112433004562,f
Go Time - 3 Item,52386037778,t
Go Time - 5 Item,78480408594,f
Go Time - 3 Item autorenew,91049066514,t
Go Time - 5 Item autorenew,91049197586,f
Go Time2 - 5 Item autorenew,91049230354,f
La Vie En Rose 3 Item,138427301906,t
La Vie En Rose 5 Item,138427203602,f
La Vie En Rose 3 Item Auto Renew,159581274130,t
La Vie En Rose 5 Item Auto Renew,159580848146,f
In the Zone - 3 Item,175540207634,t
In the Zone - 5 Item,175535685650,f
In the Zone - 3 Item Auto Renew,187757723666,t
In the Zone - 5 Item Auto Renew,187802026002,f
Desert Sage 3 Item,197985992722,t
Desert Sage 5 Item,197983830034,f
Desert Sage 3 Item Auto Renew,197985992722,t
Desert Sage 5 Item Auto Renew,210212356114,f
May Flowers 3 Item,207131443218,t
May Flowers 5 Item,207131279378,f
May Flowers 3 Item Auto Renew,219709145106,t
May Flowers 5 Item Auto Renew,219709276178,f
Rose All Day 3 Item,224674119698,t
Rose All Day 5 Item,224674086930,f
Rose All Day 3 Item Autorenew,224675037202,t
Rose All Day 5 Item Autorenew,224674971666,f
Print Paradise 3 Item,1446651330618,t
Print Paradise 5 Item,1446647234618,f
Print Paradise 3 Item Auto renew,1508549427258,t
Print Paradise 5 Item Auto renew,1508553392186,f
Meet Your Match 3 Item,1719732535354,t
Meet Your Match 5 Item,1719728111674,f
Meet your Match 3 Item Auto renew,1778624921658,t
Meet your Match 5 Item Auto renew,1778619449402,f
Vinyasa Vibes 3 Item,1828555587642,t
Vinyasa Vibes 5 Item,1828550213690,f
Vinyasa Vibes 3 Item Auto renew,1828595367994,t
Vinyasa Vibes 5 Item Auto renew,1828594090042,f
Think Pink 3 Item,1918032609338,t
Think Pink 5 Item,1918033133626,f
Think Pink 3 Item Auto renew,1930401415226,t
Think Pink 5 Item Auto renew,1924814274618,f
Wrap Me Up 3 Item,2076469657658,t
Wrap Me Up 5 Item,2076477653050,f
Wrap Me Up 3 Item Auto renew,2089102573626,t
Wrap Me Up 5 Item Auto renew,2089102114874,f
Street Smarts - 3  Items,2154512613434,t
Street Smarts - 5 Items,2144938426426,f
Street Smarts - 3 Items Auto renew,2156332908602,t
Street Smarts - 5 Items Auto renew,2188207980602,f
Street Smarts2 - 3 Items,2188530778170,t
Street Smarts2 - 5 Items,2188532875322,f
Street Smart2 - 3 Items Auto renew,2196272807994,t
Street Smarts2 - 3 Items Auto renew,2188543328314,f
Knot Your Average - 3 Items,2227252559930,t
Knot Your Average - 5 Items,2227246661690,f
Knot Your Average - 3 Items  Auto renew,2237892132922,t
Knot Your Average - 5 Items  Auto renew,2237892952122,f
True Blue - 3 Items,2226409963578,t
True Blue - 5 Items,2226391941178,f
True Blue - 3 Items  Auto renew,2237897441338,t
True Blue - 5 Items  Auto renew,2237898391610,f
Peace & Pastels - 3 Items,2226413174842,t
Peace & Pastels - 5 Items,2226411667514,f
Peace & Pastels - 3 Items  Auto renew,2237902815290,t
Peace & Pastels - 5 Items  Auto renew,2237903110202,f
Fierce & Floral - 3 Items,2227262881850,t
Fierce & Floral - 5 Items,2227259342906,f
Fierce & Floral - 3 Items  Auto renew,2236718448698,t
Fierce & Floral - 5 Items  Auto renew,2237890625594,f
3 Months - 3 Items,2209786298426,t
3 Months - 5 Items,2209789771834,f
3 Months - 3 Items Auto renew,2243360030778,t
3 Months - 5 Items Auto renew,2243359604794,f
Chill Mode - 3 Items,2267626373178,t
Chill Mode - 5 Items,2267630239802,f
