product_title,shopify_product_id,staging_product_title,staging_product_id,staging_variant_id,staging_sku,staging_product_collection
Prism Perfect - 5 Items,2339797532730,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Basic Training - 5 Items,2340064526394,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Rise Up - 3 Items,2372785340474,Rise Up - 3 Items,1864409448499,17286550945843,764204392193,Rise Up - 3 Items
First Impression - 3 ITEMS,2294128738362,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Starstruck - 3 ITEMS,2294131458106,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Mauve Muse - 5 ITEMS  Auto renew,2294127558714,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Rose Quartz - 5 Items  Auto renew,2372787535930,Rose Quartz - 5 Items,1864409677875,17286551699507,764204392254,Rose Quartz - 5 Items
Mauve Muse - 5 ITEMS,2294127558714,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
First Impression - 5 ITEMS  Auto renew,2294130999354,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Victory Lap - 5 Items  Auto renew,2372783145018,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Prism Perfect - 3 Items,2339796320314,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Brooklyn - 5 Items,2339790127162,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Rise Up - 5 Items  Auto renew,2372785438778,Rise Up - 5 Items,1864409514035,17286551076915,764204392247,Rise Up - 5 Items
Rise Up - 3 Items  Auto renew,2372785340474,Rise Up - 3 Items,1864409448499,17286550945843,764204392193,Rise Up - 3 Items
Flower Bud - 5 Items,2267637678138,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Mauve Muse - 3 Items,2294123954234,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Desert Bloom - 3 Items  Auto renew,2372780752954,Desert Bloom - 3 Items,1864406728755,17286540656691,764204392179,Desert Bloom - 3 Items
3 MONTHS,9175678162,3 Months - 5 Items,1635509469235,15880480063539,764204317073,Victory Lap - 5 Items
Rise Up - 5 Items,2372785438778,Rise Up - 5 Items,1864409514035,17286551076915,764204392247,Rise Up - 5 Items
Basic Training - 3 Items,2340063969338,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Victory Lap - 5 Items,2372783145018,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Brooklyn - 3 Items,2339789013050,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Rose Quartz - 3 Items  Auto renew,2372786290746,Rose Quartz - 3 Items,1864409645107,17286551601203,764204392209,Rose Quartz - 3 Items
Spring Blossom - 3 Items,2338694234170,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
First Impression - 5 ITEMS,2294130999354,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Rose Quartz - 3 Items,2372786290746,Rose Quartz - 3 Items,1864409645107,17286551601203,764204392209,Rose Quartz - 3 Items
Steel the Show - 3 Items,2267622539322,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
3 MONTHS,23729012754,3 Months - 5 Items,1635509469235,15880480063539,764204317073,Victory Lap - 5 Items
First Impression - 3 Items,2294128738362,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Monthly Box,8204555081,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
Flower Bud - 3 Items,2267632697402,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Desert Bloom - 5 Items,2372780916794,Desert Bloom - 5 Items,1864406859827,17286540918835,764204392223,Desert Bloom - 5 Items
First Impression - 3 ITEMS  Auto renew,2294128738362,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Rule Breaker - 3 Items,2340061052986,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Desert Bloom - 3 Items,2372780752954,Desert Bloom - 3 Items,1864406728755,17286540656691,764204392179,Desert Bloom - 3 Items
Mauve Muse - 3 ITEMS,2294123954234,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Rose Quartz - 5 Items,2372787535930,Rose Quartz - 5 Items,1864409677875,17286551699507,764204392254,Rose Quartz - 5 Items
Victory Lap - 3 Items,2372782751802,Victory Lap - 3 Items,1864411021363,17286558187571,764204392186,Victory Lap - 3 Items
Steel the Show - 5 Items,2267625160762,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
3 Months - 3 Items,2209786298426,3 Months 3 items,1421100974131,15880479998003,764204317066,Victory Lap - 3 Items
3 Months - 5 Items,2209789771834,3 Months - 5 Items,1635509469235,15880480063539,764204317073,Victory Lap - 5 Items
Basic Training - 5 Items  Auto renew,2340064526394,Victory Lap - 5 Items,1864411349043,17286558679091,764204392230,Victory Lap - 5 Items
